Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_morpho	extinction_rate	origin_time	psi	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	speciation_rate	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	t[9]	t[10]
44	0	-327.2517	-192.2394	-135.0123	319928.3	0.1716808	3019.818	0.0002744669	0.997754	0.999425	1.00057	1.00225	0.1721761	2957.985	2274.57	2294.358	2434.28	2502.637	2138.221	2407.169	2294.641	2293.404	2424.667
45	1	-329.8037	-192.2394	-137.5643	61402.62	0.1639167	3017.395	0.0002417626	0.994875	0.998685	1.00131	1.00513	0.1590943	2969.817	2274.381	2331.565	2449.547	2549.383	2136.64	2397.815	2297.181	2281.324	2388.87
46	0	-335.1679	-192.2481	-142.9198	86561.58	0.1681773	3085.249	5.015907e-05	0.995683	0.998893	1.0011	1.00432	0.1684155	2952.536	2225.823	2349.55	2446.846	2532.185	2154.44	2409.757	2267.689	2344.254	2421.217
47	1	-330.9537	-192.2394	-138.7142	115097.7	0.1477566	2995.988	0.0003209651	0.996256	0.999041	1.00095	1.00375	0.1458649	2963.498	2244.142	2312.187	2429.593	2531.269	2140.852	2404.61	2300.276	2294.137	2391.085
48	0	-333.8202	-192.2394	-141.5807	336990.6	0.1685255	2993.472	0.0003770424	0.997811	0.99944	1.00056	1.00219	0.1692012	2950.606	2228.846	2270.749	2436	2516.779	2153.733	2409.574	2324.507	2307.125	2414.841
49	1	-329.0105	-192.2394	-136.771	657849.1	0.1370504	3069.271	0.000267199	0.998433	0.999599	1.0004	1.00157	0.1421443	2962.207	2221.917	2307.709	2470.802	2519.968	2162.106	2408.362	2283.534	2337.977	2403.088
50	0	-329.0642	-192.2394	-136.8248	927945.7	0.1757779	2997.082	0.0002973284	0.998681	0.999663	1.00034	1.00132	0.1797406	2956.786	2233.455	2322.154	2450.306	2546.957	2320.309	2400.965	2358.682	2308.518	2393.003
51	1	-331.8136	-192.2394	-139.5742	575447.4	0.1351314	3072.702	0.0005081101	0.998325	0.999572	1.00043	1.00168	0.1383089	2954.48	2269.654	2251.049	2465.093	2545.114	2233.91	2396.967	2311.764	2320.791	2387.348
52	0	-328.6113	-192.2392	-136.3721	593490.7	0.1825977	3097.224	0.0001973601	0.998351	0.999578	1.00042	1.00165	0.1865541	2966.372	2260.334	2346.955	2445.145	2501.36	2288.427	2406.397	2314.554	2318.124	2397.727
53	1	-328.1006	-192.2394	-135.8612	458538.1	0.1353099	3035.647	0.0003725877	0.998123	0.99952	1.00048	1.00188	0.1345371	2966.293	2257.235	2260.263	2463.919	2510.849	2169.455	2400.325	2353.51	2302.792	2386.594
